product_code;kebutuhan;created_at
706-BRS;0;20222
706-TRA;0;20222
706-PPU-1;0;20222
706-PPU-2;0;20222
706-ZIP;0;20222
706-PKK;0;20222
706-FUN;0;20222
706-FUR;0;20222
706-BKI;0;20222
706-BKH;0;20222
706-BSY;10;20222
706-AMP;0;20222
706-GUN;0;20222
706-CUP;1;20222
706-BBG;0;20222
706-BBB;0;20222
706-BLD;0;20222
706-ZPT;0;20222
706-BPS;0;20222
706-BPP;0;20222
706-SEL;0;20222
706-BUJ;0;20222
706-BAL;0;20222
706-BKM;0;20222
706-BMG;0;20222
706-AOL;0;20222
706-TRI;0;20222
706-BEE;0;20222
706-BPI;0;20222
706-BJU;0;20222
706-GLU;0;20231
706-HCL;0;20231
706-PHP;0;20231
706-MNS;0;20231
706-MTL;0;20231
706-CCH;0;20231
706-WPM;0;20231
706-ALK;0;20231
706-MMS;0;20231
706-DCA;0;20231
706-KNO;0;20231
706-CNO;0;20231
706-BES;0;20231
706-MNP;0;20231
706-KSO;0;20231
706-AEN;0;20231
706-MAG;0;20231
706-MAN;0;20231
706-TCU;0;20231
706-SZN;0;20231
706-ISO;0;20231
706-AMO;0;20231
706-IOD;0;20231
706-MET;0;20231
706-EOS;0;20231
706-AQU;0;20231
706-BAP;0;20231
706-PRO;0;20231
706-PHD;0;20231
706-TIS;0;20231
706-TER;0;20231
706-LBK;0;20231
706-DET;0;20231
706-DED;0;20231
706-BKG;0;20231
706-BBD;0;20231
706-BBY;0;20231
706-BBM;0;20231
706-BSL;0;20231
706-BMN;0;20231
706-BMH;0;20231
706-BSD;0;20231
706-BCR;0;20231
706-BSW;0;20231
706-BPC;0;20231
706-BSM;0;20231
706-BTM;0;20231
706-BKK;0;20231
706-BBC;0;20231
706-BTC;0;20231
706-BCB;0;20231
706-BJM;0;20231
706-KMG;0;20231
706-TSP;0;20231
706-PPK-1;150;20231
706-TNH;0;20231
706-CCP;0;20231
706-SBK;0;20231
706-KSC;0;20231
706-TOB;0;20231
706-MJK;0;20231
706-GUA;0;20231
706-GAB;0;20231
706-PHU;0;20231
706-PPK-2;0;20231
706-KSR;0;20231
706-PDA;0;20231
706-AGR;0;20231
706-ASK;0;20231
706-HNO;0;20231
706-BFR-1;0;20231
706-BFR-2;0;20231
706-DEX;0;20231
706-KAN;0;20231
706-FEE;0;20231
706-MKP;0;20231
706-ASF;0;20231
706-MGS;0;20231
706-CUS;0;20231
706-ZNS;0;20231
706-HBO;0;20231
706-AHM;0;20231
706-ASS;0;20231
706-NAA;0;20231
706-PPM;0;20231
706-NOH;0;20231
706-CAA;0;20231
706-BAG;0;20231
706-SUC;0;20231
706-IBA;0;20231
706-KCL;0;20231
706-AAG;0;20231
706-AAS;0;20231
706-PAC;0;20231
706-CAM;0;20231
706-LGL;0;20231
706-MER;0;20231
706-IAA;0;20231
706-HAK;0;20231
706-KOH;0;20231
706-BBA;0;20231
706-BUB;0;20231
706-BKT;0;20231
706-BBK;50000;20231
706-BBT;150;20231
706-PLY;0;20231
706-BTR;0;20231
706-KPS;0;20231
706-KRG;0;20231
706-GLM;0;20231
706-BTN;150;20231
706-BTA;150000;20231
706-PPK-3;58000;20231
706-PES;30000;20231
706-BHK;50000;20231
706-MBK;20;20231
706-MJM;20;20231
706-BMM;40;20231
706-BFG;40;20231
706-MTN;150;20231
706-ABM;40;20231
706-HER;40;20231
706-ICR;30;20231
706-INM;30000;20231
706-PPK-4;0;20231
706-PPK-5;0;20231
706-BJV;0;20231
706-BCV;0;20231
706-BKP;0;20231
706-BKA;0;20231
706-BKU;0;20231
706-BSA;0;20231
706-BML;0;20231
706-BRS;0;20231
706-TRA;0;20231
706-PPU-1;0;20231
706-PPU-2;0;20231
706-ZIP;0;20231
706-PKK;0;20231
706-FUN;0;20231
706-FUR;0;20231
706-BKI;0;20231
706-BKH;0;20231
706-BSY;0;20231
706-AMP;0;20231
706-GUN;0;20231
706-CUP;0;20231
706-BBG;0;20231
706-BBB;0;20231
706-BLD;0;20231
706-ZPT;0;20231
706-BPS;0;20231
706-BPP;0;20231
706-SEL;0;20231
706-BUJ;0;20231
706-BAL;0;20231
706-BKM;0;20231
706-BMG;0;20231
706-AOL;0;20231
706-TRI;0;20231
706-BEE;0;20231
706-BPI;0;20231
706-BJU;0;20231
706-GLU;0;20232
706-HCL;0;20232
706-PHP;0;20232
706-MNS;0;20232
706-MTL;0;20232
706-CCH;0;20232
706-WPM;0;20232
706-ALK;1000;20232
706-MMS;0;20232
706-DCA;0;20232
706-KNO;0;20232
706-CNO;0;20232
706-BES;0;20232
706-MNP;0;20232
706-KSO;0;20232
706-AEN;0;20232
706-MAG;0;20232
706-MAN;0;20232
706-TCU;0;20232
706-SZN;0;20232
706-ISO;0;20232
706-AMO;0;20232
706-IOD;0;20232
706-MET;0;20232
706-EOS;0;20232
706-AQU;0;20232
706-BAP;0;20232
706-PRO;0;20232
706-PHD;2;20232
706-TIS;0;20232
706-TER;0;20232
706-LBK;10;20232
706-DET;0;20232
706-DED;0;20232
706-BKG;1000;20232
706-BBD;0;20232
706-BBY;1000;20232
706-BBM;0;20232
706-BSL;0;20232
706-BMN;2000;20232
706-BMH;0;20232
706-BSD;2000;20232
706-BCR;3000;20232
706-BSW;2000;20232
706-BPC;2000;20232
706-BSM;0;20232
706-BTM;0;20232
706-BKK;0;20232
706-BBC;2000;20232
706-BTC;0;20232
706-BCB;0;20232
706-BJM;2000;20232
706-KMG;0;20232
706-TSP;3000;20232
706-PPK-1;20;20232
706-TNH;0;20232
706-CCP;0;20232
706-SBK;0;20232
706-KSC;0;20232
706-TOB;0;20232
706-MJK;0;20232
706-GUA;0;20232
706-GAB;0;20232
706-PHU;0;20232
706-PPK-2;0;20232
706-KSR;0;20232
706-PDA;0;20232
706-AGR;0;20232
706-ASK;0;20232
706-HNO;0;20232
706-BFR-1;0;20232
706-BFR-2;0;20232
706-DEX;0;20232
706-KAN;0;20232
706-FEE;0;20232
706-MKP;0;20232
706-ASF;0;20232
706-MGS;1000;20232
706-CUS;0;20232
706-ZNS;0;20232
706-HBO;0;20232
706-AHM;0;20232
706-ASS;0;20232
706-NAA;0;20232
706-PPM;0;20232
706-NOH;0;20232
706-CAA;0;20232
706-BAG;0;20232
706-SUC;0;20232
706-IBA;0;20232
706-KCL;3000;20232
706-AAG;0;20232
706-AAS;0;20232
706-PAC;0;20232
706-CAM;0;20232
706-LGL;0;20232
706-MER;0;20232
706-IAA;0;20232
706-HAK;0;20232
706-KOH;0;20232
706-BBA;0;20232
706-BUB;0;20232
706-BKT;0;20232
706-BBK;0;20232
706-BBT;0;20232
706-PLY;10;20232
706-BTR;5;20232
706-KPS;0;20232
706-KRG;0;20232
706-GLM;0;20232
706-BTN;0;20232
706-BTA;0;20232
706-PPK-3;10000;20232
706-PES;0;20232
706-BHK;0;20232
706-MBK;0;20232
706-MJM;0;20232
706-BMM;0;20232
706-BFG;0;20232
706-MTN;0;20232
706-ABM;0;20232
706-HER;0;20232
706-ICR;20;20232
706-INM;0;20232
706-PPK-4;5000;20232
706-PPK-5;5000;20232
706-BJV;4000;20232
706-BCV;4000;20232
706-BKP;1000;20232
706-BKA;1000;20232
706-BKU;1000;20232
706-BSA;2000;20232
706-BML;2000;20232
706-BRS;4000;20232
706-TRA;3;20232
706-PPU-1;2;20232
706-PPU-2;4;20232
706-ZIP;1;20232
706-PKK;12;20232
706-FUN;1;20232
706-FUR;4000;20232
706-BKI;1000;20232
706-BKH;2000;20232
706-BSY;5;20232
706-AMP;1;20232
706-GUN;6;20232
706-CUP;0;20232
706-BBG;0;20232
706-BBB;0;20232
706-BLD;0;20232
706-ZPT;0;20232
706-BPS;0;20232
706-BPP;0;20232
706-SEL;0;20232
706-BUJ;0;20232
706-BAL;0;20232
706-BKM;0;20232
706-BMG;0;20232
706-AOL;0;20232
706-TRI;0;20232
706-BEE;0;20232
706-BPI;0;20232
706-BJU;0;20232
706-GLU;1000;20241
706-HCL;0;20241
706-PHP;0;20241
706-MNS;0;20241
706-MTL;0;20241
706-CCH;0;20241
706-WPM;0;20241
706-ALK;10000;20241
706-MMS;0;20241
706-DCA;0;20241
706-KNO;0;20241
706-CNO;0;20241
706-BES;0;20241
706-MNP;0;20241
706-KSO;0;20241
706-AEN;0;20241
706-MAG;0;20241
706-MAN;0;20241
706-TCU;0;20241
706-SZN;0;20241
706-ISO;0;20241
706-AMO;0;20241
706-IOD;0;20241
706-MET;0;20241
706-EOS;0;20241
706-AQU;10000;20241
706-BAP;0;20241
706-PRO;0;20241
706-PHD;0;20241
706-TIS;2;20241
706-TER;0;20241
706-LBK;0;20241
706-DET;0;20241
706-DED;0;20241
706-BKG;0;20241
706-BBD;0;20241
706-BBY;0;20241
706-BBM;0;20241
706-BSL;0;20241
706-BMN;0;20241
706-BMH;0;20241
706-BSD;1000;20241
706-BCR;1000;20241
706-BSW;0;20241
706-BPC;1000;20241
706-BSM;0;20241
706-BTM;2000;20241
706-BKK;0;20241
706-BBC;0;20241
706-BTC;0;20241
706-BCB;0;20241
706-BJM;0;20241
706-KMG;0;20241
706-TSP;4000;20241
706-PPK-1;20;20241
706-TNH;0;20241
706-CCP;25000;20241
706-SBK;0;20241
706-KSC;0;20241
706-TOB;0;20241
706-MJK;0;20241
706-GUA;0;20241
706-GAB;0;20241
706-PHU;0;20241
706-PPK-2;0;20241
706-KSR;5;20241
706-PDA;0;20241
706-AGR;0;20241
706-ASK;25000;20241
706-HNO;0;20241
706-BFR-1;0;20241
706-BFR-2;0;20241
706-DEX;0;20241
706-KAN;0;20241
706-FEE;0;20241
706-MKP;0;20241
706-ASF;0;20241
706-MGS;0;20241
706-CUS;0;20241
706-ZNS;0;20241
706-HBO;0;20241
706-AHM;0;20241
706-ASS;0;20241
706-NAA;0;20241
706-PPM;0;20241
706-NOH;0;20241
706-CAA;0;20241
706-BAG;0;20241
706-SUC;0;20241
706-IBA;0;20241
706-KCL;4000;20241
706-AAG;0;20241
706-AAS;0;20241
706-PAC;0;20241
706-CAM;0;20241
706-LGL;100;20241
706-MER;0;20241
706-IAA;0;20241
706-HAK;0;20241
706-KOH;0;20241
706-BBA;0;20241
706-BUB;2000;20241
706-BKT;1500;20241
706-BBK;0;20241
706-BBT;0;20241
706-PLY;0;20241
706-BTR;0;20241
706-KPS;0;20241
706-KRG;0;20241
