nama_bahan;satuan;stok;kebutuhan;updated_at
AMP Samsons;pak;0;0;01/07/2021
Plastik 6 x 10 cm;pak;0;0;01/07/2021
Praktikum BPO dan BTLJB;pak;0;0;01/07/2021
Glukosa;g;800;0;01/01/2022
HCl 37%;ml;420;0;01/01/2022
Potasium Hydrogen Phospate;g;400;0;01/01/2022
Mangan Sulfat (MnSO4);g;210;200;01/01/2022
Metanol Teknis (CH?OH);ml;0;0;01/01/2022
Cobalt Chloride;g;0;0;01/01/2022
WPM;ml;0;0;01/01/2022
Alkohol 70%;ml;15000;7000;01/01/2022
MS (Media Kultur Jaringan);ml;0;10000;01/01/2022
2,4 Dichlorophenoxyacetic Acid;g;0;250;01/01/2022
Kalium Nitrat (KNO3);g;1000;1000;01/01/2022
Kalsium Nitrat (CaNO3);g;1000;0;01/01/2022
Besi (Fe);g;0;0;01/01/2022
Mangan Fosfida (MnP);g;940;0;01/01/2022
Kalium Sulfat (K2SO4);g;680;200;01/01/2022
Aenonin;g;0;0;01/01/2022
Magnesium (Mg);g;0;0;01/01/2022
Mangan (Mn);g;0;0;01/01/2022
Tembaga (Cu);g;500;0;01/01/2022
Seng (Zn);g;0;0;01/01/2022
Isoren;g;0;0;01/01/2022
Amonium;g;0;0;01/01/2022
P isag;g;0;0;01/01/2022
Iodine ;ml;50;1000;01/01/2022
Methylene Blue (Methylthioninium Chloride);ml;0;500;01/01/2022
Eosin 0,5% ;ml;220;500;01/01/2022
Aquades;ml;0;200000;01/01/2022
6-Benzylaminopurine (BAP) 1 g;g;7;2;01/01/2022
Probiotik;ml;0;0;01/01/2022
Mesran B Sae 40;ml;0;0;01/01/2022
Pertiwi Pingky Kangkung;g;0;0;01/01/2022
Deterjen;g;0;0;01/01/2022
Dedak ;g;0;0;01/01/2022
You Fragrant Bawang Daun ;g;0;0;01/01/2022
PM Maestro SP Bayam;g;0;0;01/01/2022
PM Mira (Bayam Merah) ;g;0;0;01/01/2022
PM Amigo SP Seledri;g;0;0;01/01/2022
PM Vanesa (Timun) ;g;0;0;01/01/2022
PM Bella Reg F1 (Mentimun Hyb) 20;g;0;0;01/01/2022
PM Grand Rapids (Lettuce) ;g;0;0;01/01/2022
PM Bara Reg (Cabe Rawit) ;g;0;0;01/01/2022
PM Shinta (Caisim) ;g;0;0;01/01/2022
Takii Pakchoy Green 20 ml;g;0;0;01/01/2022
You Red Rapid Lettuce Selada;g;0;0;01/01/2022
BA Natama SP F1 Tomat Super 0.15;g;0;0;01/01/2022
CS Cauliflower Tropical 10 g;g;0;0;01/01/2022
Buncis ;g;0;0;01/01/2022
MF Tomato Red Cherry;g;0;0;01/01/2022
PM Panex SP Cabe Besar F1;g;0;0;01/01/2022
Pertiwi Talenta Jagung Manis F1 250;g;0;0;01/01/2022
Kemangi;g;0;0;01/01/2022
TSP;g;0;0;01/01/2022
Pupuk Kandang;karung;0;0;01/01/2022
Tomat Permata;bks;0;0;01/01/2022
Tomat Tantyna;bks;0;0;01/01/2022
Jagung Manis Bimmo 25 g;bks;0;0;01/01/2022
Tanah;karung;0;0;01/01/2022
Cocopeat;Karung;0;0;01/01/2022
Sekam Bakar;Karung;0;0;01/01/2022
Pupuk K Ksr;g;0;0;01/01/2022
Pupuk K Lils;g;0;0;01/01/2022
TOB;pcs;0;0;01/01/2022
Kompos;karung;0;0;01/01/2022
Tanah Lembang;karung;0;0;01/01/2022
Klinpak Alumunium Foil;pcs;0;0;01/01/2022
Fresh Seal Ware SW-22;pcs;0;0;01/01/2022
Lem Fox Kaleng;pcs;0;0;01/01/2022
Madu Murni 150 g;botol;0;0;01/01/2022
Swallow Agar Globe White;bungkus;0;0;01/01/2022
Duplex Tebal;lembar;0;0;01/01/2022
Plastik Parsel Tipis;rol;0;0;01/01/2022
Batuan Sedimen;pak;0;0;01/01/2022
Batuan Mineral;pak;0;0;01/01/2022
Batuan Beku;pak;0;0;01/01/2022
Kertas Saring;pak;0;0;01/01/2022
Potato Dextrose Agar 100 g;Botol;0;1;01/01/2022
Agar Lokal;g;0;1000;01/01/2022
Arang Sekam ;karung;0;0;01/01/2022
Alkohol 95%;ml;0;12000;01/01/2022
Asam Nitrat (HNO3);g;0;1000;01/01/2022
Buffer 7;ml;0;250;01/01/2022
Buffer 4;ml;0;250;01/01/2022
Dextrose;ml;0;1000;01/01/2022
Spirtus;ml;0;2000;01/01/2022
Pupuk Hyponex;box;0;1;01/01/2022
Clorox (byclean);botol;0;3;01/01/2022
Media NA;botol;0;1;01/01/2022
Kalsium Amonium Nitrat;g;0;2000;01/01/2022
Fe - EDTA;g;0;100;01/01/2022
Monokalium Posfat (MKP) (KH?PO?);g;0;2000;01/01/2022
Amonium Sulfat ((NH?)?SO?);g;0;2000;01/01/2022
Magnesium Sulfat (MgSO4);g;0;1000;01/01/2022
Tembaga Sulfat (CuSO4);g;0;200;01/01/2022
Seng Sulfat (ZnSO4);g;0;200;01/01/2022
Asam Borat (H3BO3);g;0;200;01/01/2022
Amonium Hepta Molibdat;g;0;100;01/01/2022
Parafin Padat/Lilin Malam;pcs;0;12;01/01/2022
Silika Gel;bungkus;0;1;01/01/2022
Lanolin;botol;0;1;01/01/2022
Vaselin ;botol;0;1;01/01/2022
IAA (AUXIN);botol;0;1;01/01/2022
GA3 (GIBERELIN);botol;0;1;01/01/2022
Asam Sitrat;g;0;500;01/01/2022
Naphthalene Acetic Acid (NAA);g;0;25;01/01/2022
PPM;ml;0;60;01/01/2022
Natrium Hidroksida (NaOH);g;0;500;01/01/2022
Arang/Carbon Aktif;g;0;3000;01/01/2022
Bakterisida Agrept;g;0;1000;01/01/2022
Fungisida Antracol;g;0;750;01/01/2022
Sukrosa;g;0;1000;01/01/2022
Indole Butyric Acid (IBA);g;0;5;01/01/2022
Kalium Klorida (KCl | KCL);g;0;1000;01/01/2022
Asam Asetat Glasial;botol;0;2;01/01/2022
Asam Asetat;botol;0;2;01/01/2022
Paclobutrazol;g;0;1;01/01/2022
Citric Acid Monohydrate;g;0;1;01/01/2022
Teknis Lugol;botol;0;1;01/01/2022
Kalium Hidroksida (KOH);botol;0;1;01/01/2022
Benih Sayuran;bks;0;0;01/01/2022
Benih Bunga;bks;0;0;01/01/2022
Ubi;g;0;0;01/01/2022
Kentang;g;0;0;01/01/2022
Macam- macam Batu Batre;g;0;0;01/01/2022
Plastik;g;0;0;01/01/2022
Bahan Bakar;ml;0;0;01/01/2022
Bibit;pak;0;0;01/01/2022
Polybag;pak;0;0;01/01/2022
Macam Macam Baterai;pcs;0;0;01/01/2022
Praktikum Fisiologi Tumbuhan;pak;0;0;01/01/2022
Praktikum Dasperlintan;paket;0;0;01/01/2022
Karung;pcs;0;0;01/01/2022
Glumon;botol;0;0;01/01/2022
Alkohol 90%;ml;0;0;01/01/2022
Benih Tanaman;bks;0;0;01/01/2022
Bahan Tanam;g;0;0;01/01/2022
Pupuk Organik;g;0;0;01/01/2022
Pupuk Kimia;g;0;0;01/01/2022
Pestisida;g;0;0;01/01/2022
Bahan Kimia;g;0;0;01/01/2022
ATK;pak;0;0;01/01/2022
Media Bakteri;botol;0;0;01/01/2022
Media Jamur;botol;0;0;01/01/2022
Biakan Murni Mikroorganisme;petri;0;0;01/01/2022
Biakan fungi;petri;0;0;01/01/2022
Media Tanam;karung;0;0;01/01/2022
AB MIX;paket;0;0;01/01/2022
Herbisida;botol;0;0;01/01/2022
Insektisida Curacron;Botol;0;0;01/01/2022
Jaring Serangga;lembar;0;0;01/01/2022
Petrogenol (Perangkap Serangga);botol;0;0;01/01/2022
Inokulum Mikoriza;g;0;0;01/01/2022
Pupuk NPK Mutiara;g;0;0;01/01/2022
Urea;g;0;0;01/01/2022
Ponska;pak;0;0;01/01/2022
Benih Jagung Var Paragon;pak;0;0;01/01/2022
Benih Jagung 4 Varietas;pak;0;0;01/01/2022
Benih Cabai 6 Varietas;pak;0;0;01/01/2022
Benih Cabai Rawit;pak;0;0;01/01/2022
Benih Bayam;pak;0;0;01/01/2022
Benih Kacang Panjang;pak;0;0;01/01/2022
Benih sawi;pak;0;0;01/01/2022
Benih Selada;pak;0;0;01/01/2022
Benih Mentimun;pak;0;0;01/01/2022
Benih Kangkung;pak;0;0;01/01/2022
Benih Kaylan;pak;0;0;01/01/2022
Benih Buncis;pak;0;0;01/01/2022
Benih Pakcoy;pak;0;0;01/01/2022
Benih Kubis;pak;0;0;01/01/2022
Benih Semangka;pak;0;0;01/01/2022
Benih Melon;pak;0;0;01/01/2022
Benih Rosela;pak;0;0;01/01/2022
Tray Semai 48 Lubang;pak;0;0;01/01/2022
