rencana_id;product_code;stok;kebutuhan;created_at;updated_at
1;706-AMS;2000;0;01/01/2023;01/01/2023
1;706-MGS;0;0;01/01/2023;01/01/2023
1;706-CUS;200;0;01/01/2023;01/01/2023
1;706-ZNS;200;0;01/01/2023;01/01/2023
1;706-ASB;200;0;01/01/2023;01/01/2023
1;706-AHM;10;0;01/01/2023;01/01/2023
1;706-PRP;0;0;01/01/2023;01/01/2023
1;706-SLG;0;0;01/01/2023;01/01/2023
1;706-LNL;0;0;01/01/2023;01/01/2023
1;706-VSL;1;0;01/01/2023;01/01/2023
1;706-IAA;0;0;01/01/2023;01/01/2023
1;706-GA3;0;0;01/01/2023;01/01/2023
1;706-AAS;0;0;01/01/2023;01/01/2023
1;706-NAA;0;0;01/01/2023;01/01/2023
1;706-PPM;0;0;01/01/2023;01/01/2023
1;706-NMH;500;0;01/01/2023;01/01/2023
1;706-ARG-2;2000;0;01/01/2023;01/01/2023
1;706-BAG;1000;0;01/01/2023;01/01/2023
1;706-FAT;750;0;01/01/2023;01/01/2023
1;706-SUC;1000;0;01/01/2023;01/01/2023
1;706-IBA;5;0;01/01/2023;01/01/2023
1;706-KCL;1000;0;01/01/2023;01/01/2023
1;706-AAG;2;0;01/01/2023;01/01/2023
1;706-AAT;2;0;01/01/2023;01/01/2023
1;706-PAC;1;0;01/01/2023;01/01/2023
1;706-CAM;1;0;01/01/2023;01/01/2023
1;706-TKL;1;0;01/01/2023;01/01/2023
1;706-KOH;1;0;01/01/2023;01/01/2023
1;706-BSS;0;10;01/01/2023;01/01/2023
1;706-BBG;0;10;01/01/2023;01/01/2023
1;706-UBI;0;2000;01/01/2023;01/01/2023
1;706-PTT;0;1000;01/01/2023;01/01/2023
1;706-BBR-1;0;15000;01/01/2023;01/01/2023
1;706-PLS-2;0;1000;01/01/2023;01/01/2023
1;706-BBK;0;50000;01/01/2023;01/01/2023
1;706-BBT;0;1;01/01/2023;01/01/2023
1;706-POL-1;0;5;01/01/2023;01/01/2023
1;706-BBR-2;0;20;01/01/2023;01/01/2023
1;706-PFT;0;1;01/01/2023;01/01/2023
1;706-PDS;0;1;01/01/2023;01/01/2023
1;706-KRG;0;10;01/01/2023;01/01/2023
1;706-GLM;0;4;01/01/2023;01/01/2023
1;706-ALK-3;0;5000;01/01/2023;01/01/2023
1;706-BTM;0;0;01/01/2023;01/01/2023
1;706-BHT;0;0;01/01/2023;01/01/2023
1;706-PPK-6;0;0;01/01/2023;01/01/2023
1;706-PPK-7;0;0;01/01/2023;01/01/2023
1;706-PPK-8;0;0;01/01/2023;01/01/2023
1;706-BHK;0;0;01/01/2023;01/01/2023
1;706-ATK;0;0;01/01/2023;01/01/2023
1;706-MBK;0;0;01/01/2023;01/01/2023
1;706-MJM;0;0;01/01/2023;01/01/2023
1;706-BMM;0;0;01/01/2023;01/01/2023
1;706-BFG;0;0;01/01/2023;01/01/2023
1;706-MTM;0;0;01/01/2023;01/01/2023
1;706-ABM;0;0;01/01/2023;01/01/2023
1;706-HER;0;0;01/01/2023;01/01/2023
1;706-INC;0;0;01/01/2023;01/01/2023
1;706-JSR;0;0;01/01/2023;01/01/2023
1;706-PET;0;0;01/01/2023;01/01/2023
1;706-INM;0;0;01/01/2023;01/01/2023
1;706-PPK-9;0;0;01/01/2023;01/01/2023
1;706-PPK-10;0;0;01/01/2023;01/01/2023
1;706-PON;0;0;01/01/2023;01/01/2023
1;706-BJG-3;0;0;01/01/2023;01/01/2023
1;706-BJG-4;0;0;01/01/2023;01/01/2023
1;706-BCB-3;0;0;01/01/2023;01/01/2023
1;706-BCB-4;0;0;01/01/2023;01/01/2023
1;706-BBY-3;0;0;01/01/2023;01/01/2023
